Date,Close,High,Low,Open,Volume
2023-01-02,16.62139892578125,16.64854738811416,16.315983857956784,16.58067769897353,26445013
2023-01-03,16.27525520324707,16.729983672984652,16.173449249307943,16.621391339905372,33847015
2023-01-04,16.32276725769043,16.64175646973253,16.207388524262512,16.32955363807803,33855739
2023-01-05,16.831796646118164,16.906454181248403,16.302410451619433,16.356705907455872,41153732
2023-01-06,17.123632431030273,17.17792786623455,16.831790250070565,16.920021982304924,42632750
2023-01-09,17.245800018310547,17.41547566120887,16.892875971770327,16.96753348931619,29083430
2023-01-10,17.578365325927734,17.646234997963422,16.913236966551146,17.055764157840855,35564190
2023-01-11,17.883785247802734,17.972015552438254,17.48335055232289,17.56479594125185,38743614
2023-01-12,17.632665634155273,17.85663678700808,17.239018787717256,17.30688847847467,57811778
2023-01-13,17.544429779052734,17.571578235713105,17.062552740133494,17.38154197247318,23525385
2023-01-16,17.35439682006836,17.54443311949096,17.164360520645758,17.476563431609065,27737426
2023-01-17,17.7141056060791,17.74804044389019,17.30009823807766,17.41547697997363,36595560
2023-01-18,18.03309440612793,18.08060200069936,17.78197487278386,17.897353602509906,45007971
2023-01-19,18.03309440612793,18.094177694421482,17.67338252322768,17.802335479984645,40213569
2023-01-20,17.7141056060791,18.107752364732164,17.666596539805308,18.09417960296081,37996401
2023-01-23,17.171142578125,17.761611890271027,17.103271446442434,17.673381619120374,52002547
2023-01-24,17.32723617553711,17.666587309733565,17.198283272551066,17.300089199486237,34378279
2023-01-25,17.388330459594727,17.476560746949385,16.981109461475324,17.327245696516286,43609396
2023-01-26,17.28652572631836,17.46977562872618,17.13042428353203,17.40869232792357,33862197
2023-01-27,16.920032501220703,17.279744566485803,16.845374948046754,17.24580824835805,34365362
2023-01-30,16.926807403564453,17.00825275179725,16.648539463829763,16.960742231982646,39913324
2023-01-31,17.191503524780273,17.367965537267718,17.028615738898196,17.042188498812408,32928039
2023-02-01,16.965787887573242,17.31895816606316,16.82995237476929,17.10841451554585,31850216
2023-02-02,17.121990203857422,17.638163149787076,16.77561120257374,16.843528193346586,52480220
2023-02-03,17.060869216918945,17.22387062859652,16.863909300118067,16.911451500833547,41535326
2023-02-06,17.067659378051758,17.14236896578091,16.78919730324303,17.14236896578091,31860299
2023-02-07,16.673738479614258,17.169536747662228,16.476778569309445,17.11520196708557,34547549
2023-02-08,18.052459716796875,18.072834521134876,17.19670032203403,17.284992119307965,120349072
2023-02-09,17.604202270507812,18.249418052412324,17.51591048064087,18.100000386945464,40856546
2023-02-10,17.522706985473633,17.644958774300513,17.32574707477631,17.468373672502924,59102038
2023-02-13,18.140748977661133,18.222251119045442,17.509118389785446,17.509118389785446,49663922
2023-02-14,17.9166202545166,18.25620807864414,17.869078076555834,18.16791483341118,39640950
2023-02-15,18.181501388549805,18.385253821602205,17.740038028221903,17.848706090364104,41791724
2023-02-16,18.317333221435547,18.39883388504385,17.943786923207842,18.05924607434348,34692120
2023-02-17,18.256214141845703,18.439591803903067,18.133962367140793,18.310547448540074,21326685
2023-02-22,17.9166202545166,18.004913499749563,17.835119587685792,17.862286965867252,20794515
2023-02-23,17.984542846679688,18.37846555014512,17.903042154405952,17.937000653877174,43189053
2023-02-24,17.434412002563477,17.869082830541107,17.35291131404979,17.828331752427285,35419959
2023-02-27,17.210281372070312,17.522701866599192,17.169531766174945,17.515910754854563,20098513
2023-02-28,17.271411895751953,17.543081389768297,17.101617911598915,17.25103708732213,29465137
2023-03-01,16.99116325378418,17.229039383651372,16.576577882815222,17.208650420729562,49786059
2023-03-02,16.433847427368164,17.12708512182479,16.338695542853277,16.923192632635544,52237191
2023-03-03,16.45424461364746,16.712509737468892,16.372685814692694,16.542597776080793,29015336
2023-03-06,16.828039169311523,17.018339983020716,16.386269213381876,16.610553574167536,35169906
2023-03-07,16.8756160736084,16.90959668368604,16.515401925761253,16.889207730146197,31883639
2023-03-08,17.0863094329834,17.215441947085928,16.828042936044888,16.98436170640062,40035234
2023-03-09,16.760080337524414,17.045531648779868,16.726098248384517,16.99116059990275,47884998
2023-03-10,16.35909080505371,16.72609945036584,16.23675410037177,16.685320059227294,37246581
2023-03-13,16.161989212036133,16.35908735790652,15.95129940738393,16.155191913911835,38429660
2023-03-14,16.107616424560547,16.277528296981206,15.951297678181529,16.012466011002296,43849139
2023-03-15,16.06684112548828,16.14839843371068,15.645459986150028,15.883336080437687,57389962
